BOP_ID	ATS_CODE	Duplicate of	BOP_NAME	DOE_NAME	Org_Type	TYPE_OF_SCHOOL		ADDRESS_1	NEIGHBORHOOD	CITY	STATE	ZIP	COMMUNITY_BOARD	COUNCIL_DISTRICT	PRINCIPAL	PRINCIPAL_PHONE
5737437f117a5467af679717	13K265		Dr. Susan S. McKinney Secondary School of the Arts (13K265)	Dr. Susan S. McKinney Secondary School of the Arts	School	NYC Public		101 PARK AVENUE	Fort Greene	BROOKLYN	NY	11205	302	35	Michael Walker	718-834-6760
5737437f117a5467af67973a	13K265	5737437f117a5467af679717	McKinney Secondary School of the Arts	Dr. Susan S. McKinney Secondary School of the Arts	School	NYC Public		101 PARK AVENUE	Fort Greene	BROOKLYN	NY	11205	302	35	Michael Walker	718-834-6760
595eb251b031c81e6e3bdab4	01M364		The Earth School	Earth School	School	NYC Public		600 EAST  6 STREET	Lower East Side	MANHATTAN	NY	10009	103	2	ABBE FUTTERMAN	212-477-1735
5925a82a551848fd0ebcc6a9	12X271		East Bronx Academy for the Future	East Bronx Academy for the Future	School	NYC Public		1716 SOUTHERN BOULEVARD	Crotona Park East	BRONX	NY	10460	203	17	SARAH SCROGIN	718-861-8641
5891efbf58dc86ad76329ec5	11X542		Pelham Preparatory Academy	Esperanza Preparatory Academy	School	NYC Public		240 EAST 109 STREET	East Harlem South	MANHATTAN	NY	10029	111	8	Luisa Morales	212-722-6507
5737437f117a5467af679718	25Q263		Flushing International High School	Flushing International High School	School	NYC Public		144-80 BARCLAY AVENUE	Murray Hill	QUEENS	NY	11355	407	20	Lara Evangelista	718-463-2348
5912166991cb1f850e448dbc	28Q440		Forest Hills High School	Forest Hills High School	School	NYC Public		67-01 110 STREET	Forest Hills	QUEENS	NY	11375	406	29	BENJAMIN SHERMAN	718-268-3137
5737437f117a5467af679719	20K490		Fort Hamilton High School	Fort Hamilton High School	School	NYC Public		8301 SHORE ROAD	Bay Ridge	BROOKLYN	NY	11209	310	43	Kaye Houlihan	718-748-1537
594fee704b16da37d15a040c	20K505		Franklin Delano Roosevelt High School	Franklin Delano Roosevelt High School	School	NYC Public		5800 20 AVENUE	Borough Park	BROOKLYN	NY	11204	312	44	Melanie Katz	718-621-8800
5a31ef35c6e9f20f9162e2c1	13K605		George Westinghouse High School	George Westinghouse Career and Technical Education High School	School	NYC Public		105 TECH PLACE	DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill	BROOKLYN	NY	11201	302	33	JOEY ARZUAGA	718-625-6130
586bb6c1195c49c15ebeeca9	27Q333		Goldie Maple Academy	Goldie Maple Academy	School	NYC Public		3-65 BEACH 56 STREET	Hammels-Arverne-Edgemere	QUEENS	NY	11692	414	31	ANGELA LOGAN-SMITH	718-945-3300
58bd96529e4a962862ed1e69	24Q485		Grover Cleveland High School	Grover Cleveland High School	School	NYC Public		21-27 HIMROD STREET	Ridgewood	QUEENS	NY	11385	405	30	Denise Vittor	718-381-9600
59775fa4db83c37a9842aae4	06M209		Hamilton Grange Middle School	Hamilton Grange Middle School	School	NYC Public		500 WEST 138 STREET	Manhattanville	MANHATTAN	NY	10031	109	7	BENJAMIN LEV	212-281-6184
5737437f117a5467af679724	02M534		Harvest Collegiate High School	Harvest Collegiate High School	School	NYC Public		34 WEST  14 STREET	West Village	MANHATTAN	NY	10011	102	3	Catherine Burch	212-242-3384
59df6b697ab0680f7bf8b047	02M560		City-As-School	High School M560 - City As School	School	NYC Public		16 CLARKSON STREET	West Village	MANHATTAN	NY	10014	102	3	Alan Cheng	212-337-6800
5737437f117a5467af679721	30Q291		Hunters Point Community Middle School	Hunters Point Community Middle School	School	NYC Public		1-50 51ST AVENUE	Hunters Point-Sunnyside-West Maspeth	QUEENS	NY	11101	402	26	SARAH GOODMAN	718-609-3300
5737437f117a5467af679729	31R024		IS 24 Myra Barnes	I.S. 024 Myra S. Barnes	School	NYC Public		225 CLEVELAND AVENUE	Great Kills	STATEN ISLAND	NY	10308	503	51	LENNY SANTAMARIA	718-982-4700
590203452272257a0e858bfd	25Q025		I.S. 25 ADRIEN BLOCK	I.S. 025 Adrien Block	School	NYC Public		34-65 192 STREET	Auburndale	QUEENS	NY	11358	411	19	MARY ELLEN BEIRNE	718-961-3480
590203e22272257a0e858c01	25Q025	590203452272257a0e858bfd	I.S. 25 ADRIEN BLOCK	I.S. 025 Adrien Block	School	NYC Public		34-65 192 STREET	Auburndale	QUEENS	NY	11358	411	19	MARY ELLEN BEIRNE	718-961-3480
5876643bd1b4f2e2389723cc	31R051		IS 51 Edwin Markham	I.S. 051 Edwin Markham	School	NYC Public		20 HOUSTON STREET	Port Richmond	STATEN ISLAND	NY	10302	501	50	Nicholas Mele	718-981-0502
5737437f117a5467af67972e	18K068		IS 68 Isaac Bildersee	I.S. 068 Isaac Bildersee	School	NYC Public		956 EAST  82 STREET	Canarsie	BROOKLYN	NY	11236	318	46	Merve Williams	718-241-4800
5737437f117a5467af679726	30Q141		IS 141 The Steinway School	I.S. 141 The Steinway	School	NYC Public		37-11 21 AVENUE	Steinway	QUEENS	NY	11105	401	22	MIRANDA PAVLOU	718-278-6403
5737437f117a5467af679727	30Q145		IS 145 Joseph Pulitzer	I.S. 145 Joseph Pulitzer	School	NYC Public		33-34 80 STREET	Jackson Heights	QUEENS	NY	11372	403	25	IVAN RODRIGUEZ	718-457-1242
5834ac30e5b1443821082aec	30Q230		I.S. 230	I.S. 230	School	NYC Public		73-10 34 AVENUE	Jackson Heights	JACKSON HEIGHTS	NY	11372	403	25	Ronald Zirin	718-335-7648
5737437f117a5467af67972a	21K281		IS 281 Joseph Cavallaro	I.S. 281 Joseph B Cavallaro	School	NYC Public		8787 24 AVENUE	Bensonhurst East	BROOKLYN	NY	11214	311	47	Maria Bender	718-996-6706
5878f1fbcc0ff6e83807f897	14K318		I.S. 318 Eugenio Maria de Hostos	I.S. 318 Eugenio Maria De Hostos	School	NYC Public		101 WALTON STREET	Williamsburg	BROOKLYN	NY	11206	301	33	Leander Windley	718-782-0589
5924d6a6561569c017258cab	17K340		M.S. 340-North Star Academy	I.S. 340	School	NYC Public		227 STERLING PLACE	Prospect Heights	BROOKLYN	NY	11238	308	35	JEAN WILLIAMS	718-857-5516
5901fb722272257a0e858bf7	31R049		I.S. 49 BERTA A. DREYFUS	I.S. 49 Berta A. Dreyfus	School	NYC Public		101 WARREN STREET	Stapleton-Rosebank	STATEN ISLAND	NY	10304	501	49	James De Francesco	718-727-6040
5834abcce5b1443821082aeb	24Q005		I.S. 5 THE WALTER CROWLEY SCHOOL	I.S. 5 - The Walter Crowley Intermediate School	School	NYC Public		50-40 JACOBUS STREET	Elmhurst-Maspeth	QUEENS	NY	11373	404	25	Kelly Nepogoda	718-205-6788
59b98656afdf4c6a8fa53425	21K098		Bay Academy	I.S. 98 Bay Academy	School	NYC Public		1401 EMMONS AVENUE	Sheepshead Bay-Gerritsen Beach-Manhattan Beach	BROOKLYN	NY	11235	315	48	MARIA TIMO	718-891-9005
5893e1db58dc86ad76329f7e	02M407		Institute for Collaborative Education	Institute for Collaborative Education	School	NYC Public		345 EAST  15TH STREET	Gramercy	MANHATTAN	NY	10003	106	2	Peter Karp	212-475-7972
589a05abe417aa3a7b906923	24Q530		International High School at LaGuardia C.C.	International High School at LaGuardia Community College	School	NYC Public		45-35 VAN DAM STREET	Hunters Point-Sunnyside-West Maspeth	QUEENS	NY	11101	402	26	Jaclyn Valane	718-392-3433
5737437f117a5467af679725	10X342		International School for Liberal Art	International School for Liberal Arts	School	NYC Public		2780 RESERVOIR AVENUE	Van Cortlandt Village	BRONX	NY	10468	207	11	Francine Cruz	718-329-8570
5737437f117a5467af679770	10X342	5737437f117a5467af679725	The International School for Liberal Arts MS/HS 342	International School for Liberal Arts	School	NYC Public		2780 RESERVOIR AVENUE	Van Cortlandt Village	BRONX	NY	10468	207	11	Francine Cruz	718-329-8570
59c9072ae3e6892d8be65d54	84M478		Inwood Academy for Leadership Charter School	Inwood Academy for Leadership Charter School	School	Charter		108 COOPER STREET	Marble Hill-Inwood	MANHATTAN	NY	10034	112	10	Christina Reyes	646-665-5570
59c92001e3e6892d8be65d61	84M478	59c9072ae3e6892d8be65d54	Inwood Academy for Leadership Charter School High School	Inwood Academy for Leadership Charter School	School	Charter		108 COOPER STREET	Marble Hill-Inwood	MANHATTAN	NY	10034	112	10	Christina Reyes	646-665-5570
58f1715be23a596b0e4e5735	75X754		JM Rapport School for Career Development 754x	J. M. Rapport School Career Development	School	NYC Public		470 JACKSON AVENUE	Mott Haven-Port Morris	BRONX	NY	10455	201	8	DANIEL HOEHN	718-993-5581
5833503c262e956b0eb38a4b	20K062		Ditmas IS62	J.H.S. 062 Ditmas	School	NYC Public		700 CORTELYOU ROAD	Kensington-Ocean Parkway	BROOKLYN	NY	11218	312	40	BARRY KEVORKIAN	718-941-5450
5737437f117a5467af679743	15K088		MS 88 The Peter Rouget School	J.H.S. 088 Peter Rouget	School	NYC Public		544 7TH AVENUE	Sunset Park West	BROOKLYN	NY	11215	307	38	AILENE MITCHELL	718-788-4482
5877e666d1b4f2e23897246f	02M104		MS 104 Simon Baruch	J.H.S. 104 Simon Baruch	School	NYC Public		330 EAST  21 STREET	Gramercy	MANHATTAN	NY	10010	106	2	Rocco Macri	212-674-4545
599253065025d77159ad7693	11X127		Castle Hill MIddle School 127	J.H.S. 127 The Castle Hill	School	NYC Public		1560 PURDY STREET	Parkchester	BRONX	NY	10462	209	18	HARRY SHERMAN	718-892-8600
5834ad34e5b1443821082af1	25Q185		J.H.S. 185 EDWARD BLEEKER	J.H.S. 185 Edward Bleeker	School	NYC Public		147-26 25 DRIVE	Murray Hill	QUEENS	NY	11354	407	19	Theresa Mshar	718-445-3232
59f0996e6cbbb80f9b05ed48	19K218		James P Sinnott, jhs 218	J.H.S. 218 James P. Sinnott	School	NYC Public		370 FOUNTAIN AVENUE	East New York	BROOKLYN	NY	11208	305	42	Lisa ann Hermann	718-647-9050
5834aab2e5b1443821082ae8	20K220		J.H.S. 220 JOHN J. PERSHING	J.H.S. 220 John J. Pershing	School	NYC Public		4812 9TH AVENUE	Sunset Park East	BROOKLYN	NY	11220	312	38	SHELDON DEMPSTER	718-633-8200
5834aafbe5b1443821082ae9	22K234		J.H.S. 234 ARTHUR W. CUNNINGHAM	J.H.S. 234 Arthur W. Cunningham	School	NYC Public		1875 EAST  17 STREET	Madison	BROOKLYN	NY	11229	315	48	SUSAN SCHAEFFER	718-645-1334
58f510b4e23a596b0e4e575a	32K383		Philippa Schuyler Middle School I.S. 383	J.H.S. 383 Philippa Schuyler	School	NYC Public		1300 GREENE AVENUE	Bushwick North	BROOKLYN	NY	11237	304	37	Jeanette Smith	718-574-0390
5737437f117a5467af67972b	21K540		John Dewey High School	John Dewey High School	School	NYC Public		50 AVENUE X	Gravesend	BROOKLYN	NY	11223	313	47	CONNIE HAMILTON	718-373-6400
5737437f117a5467af67972c	14K126		John Ericsson Middle School 126, Magnet School of environmental engineering	John Ericsson Middle School 126	School	NYC Public		424 LEONARD STREET	Greenpoint	BROOKLYN	NY	11222	301	33	MARIA ORTEGA	718-782-2527
5737437f117a5467af67972d	12X316		KAPPA III (12x316)	Kappa III	School	NYC Public		2055 MAPES AVENUE	East Tremont	BRONX	NY	10460	206	15	Jean Colon	718-561-3580
5834ae96e5b1443821082af7	02M131		M.S. 131	M.S. 131	School	NYC Public		100 HESTER STREET	Chinatown	MANHATTAN	NY	10002	103	1	PHYLLIS TAM	212-219-1204
5a15aded443e2a444d5db391	03M243		The Center School MS 243	M.S. 243 Center School	School	NYC Public		100 WEST  84 STREET	Upper West Side	MANHATTAN	NY	10024	107	6	ELAINE SCHWARTZ	212-799-1477
5737437f117a5467af679746	06M319		MS319/FRIENDS OF SHERMAN CREEK/CHILDRENS AID SOCIETY	M.S. 319 - Maria Teresa	School	NYC Public		21 JUMEL PLACE	Washington Heights South	MANHATTAN	NY	10032	112	10	YSIDRO ABREU	212-923-3827
5737437f117a5467af679740	06M324		MS 324 Patria Mirabal	M.S. 324 - Patria Mirabal	School	NYC Public		21 JUMEL PLACE	Washington Heights South	MANHATTAN	NY	10032	112	10	CARLOS GUZMAN	212-923-4057
5737437f117a5467af679741	10X390		MS 390	M.S. 390	School	NYC Public		1930 ANDREWS AVENUE	University Heights-Morris Heights	BRONX	NY	10453	205	14	ROBERT MERCEDES	718-583-5501
5737437f117a5467af679742	15K051		MS 51	M.S. 51 William Alexander	School	NYC Public		350 5 AVENUE	Park Slope-Gowanus	BROOKLYN	NY	11215	306	39	LENORE DILEO BERNER	718-369-7603
57f7b4b119cc1edc3249efbb	15K839	57f7b4e519cc1edc3249efc1	MS 839	M.S. 839	School	NYC Public		713 CATON AVENUE	Windsor Terrace	BROOKLYN	NY	11218	307	39	MICHAEL PERLBERG	718-686-2730
57f7b4b319cc1edc3249efbd	15K839	57f7b4e519cc1edc3249efc1	MS 839	M.S. 839	School	NYC Public		713 CATON AVENUE	Windsor Terrace	BROOKLYN	NY	11218	307	39	MICHAEL PERLBERG	718-686-2730
57f7b4e519cc1edc3249efc1	15K839		MS839	M.S. 839	School	NYC Public		713 CATON AVENUE	Windsor Terrace	BROOKLYN	NY	11218	307	39	MICHAEL PERLBERG	718-686-2730
5737437f117a5467af67973f	13K266		MS 266 Park Place Community School	M.S. K266 - Park Place Community Middle School	School	NYC Public		62 PARK PLACE	Park Slope-Gowanus	BROOKLYN	NY	11217	306	39	Glenda Esperance	718-245-8766
59e131ce7ab0680f7bf8db52	03M245		MS 245 The Computer School	M.S. M245 The Computer School	School	NYC Public		100 WEST  77 STREET	Upper West Side	MANHATTAN	NY	10024	107	6	HENRY ZYMECK	917-441-0873
595e6b99037942769ecd2875	04M435		Manhattan Center for Science and Mathematics	Manhattan Center for Science and Mathematics	School	NYC Public		260 PLEASANT AVENUE	East Harlem North	MANHATTAN	NY	10029	111	8	JOSE JIMENEZ	212-876-4639
58e3a3c3ec3f74820e7375a7	02M459		The Manhattan International High School	Manhattan International High School	School	NYC Public		317 EAST  67 STREET	Lenox Hill-Roosevelt Island	MANHATTAN	NY	10065	108	5	Gladys Rodriguez	212-517-6728
5737437f117a5467af679737	31R063		Marsh Avenue Expeditionary Learning School	Marsh Avenue School for Expeditionary Learning	School	NYC Public		100 ESSEX DRIVE	Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill	STATEN ISLAND	NY	10314	502	51	Cara De Angelo	718-370-6850
58dbeca6c6f0027a0e28bc58	28Q167		Metropolitan Expeditionary Learning School (MELS)	Metropolitan Expeditionary Learning School	School	NYC Public		91-30 METROPOLITAN AVENUE	Forest Hills	QUEENS	NY	11375	406	29	DAMON MCCORD	718-286-3500
5737437f117a5467af67973b	23K522		Mott Hall IV	Mott Hall IV	School	NYC Public		1137 HERKIMER STREET	Ocean Hill	BROOKLYN	NY	11233	316	41	Dellie Edwards	718-485-5240
5737437f117a5467af679745	31R440		New Dorp High School	New Dorp High School	School	NYC Public		465 NEW DORP LANE	New Dorp-Midland Beach	STATEN ISLAND	NY	10306	502	50	DEIRDRE DEANGELIS DALES	718-667-8686
5737437f117a5467af679747	84X202		New Visions Charter High School For Advanced Math & Science II	New Visions Charter High School for Advanced Math and Science II	School	Charter		900 TINTON AVENUE	Morrisania-Melrose	BRONX	NY	10456	203	17	SPIRIDOULA MANESSIS	718-665-3671
5737437f117a5467af67974f	02M312		NYC Lab School for Collaborative Studies	New York City Lab Middle School for Collaborative Studies	School	NYC Public		333 WEST  17 STREET	Hudson Yards-Chelsea-Flatiron-Union Square	MANHATTAN	NY	10011	104	3	MEGAN ADAMS	212-691-6119
5737437f117a5467af67974e	02M376		NYC I School	NYC iSchool	School	NYC Public		131 AVENUE OF THE AMERICAS	SoHo-TriBeCa-Civic Center-Little Italy	MANHATTAN	NY	10013	102	3	Isora Bailey	917-237-7300
5a537a9c2d30ce1fe0a79089	02M003		PS3	P.S. 003 Charrette School	School	NYC Public		490 HUDSON STREET	West Village	MANHATTAN	NY	10014	102	3	LISA SIEGMAN	212-691-1183
58786e8ecc0ff6e83807f890	19K007		IS 171 Abraham Lincoln	P.S. 007 Abraham Lincoln	School	NYC Public		858 JAMAICA AVENUE	Cypress Hills-City Line	BROOKLYN	NY	11208	305	37	Carolyn Noel	718-647-3600
5737437f117a5467af679744	13K008	58a8376c911363392a0a40d6	MS8 The Robert Fulton School	P.S. 008 Robert Fulton	School	NYC Public		37 HICKS STREET	Brooklyn Heights-Cobble Hill	BROOKLYN	NY	11201	302	33	Patricia Peterson	718-834-6740
58a8376c911363392a0a40d6	13K008		P.S. 8	P.S. 008 Robert Fulton	School	NYC Public		37 HICKS STREET	Brooklyn Heights-Cobble Hill	BROOKLYN	NY	11201	302	33	Patricia Peterson	718-834-6740
5989de51d317056a6f438b40	30Q011		P.S. 11Q	P.S. 011 Kathryn Phelan	School	NYC Public		54-25 SKILLMAN AVENUE	Woodside	QUEENS	NY	11377	402	26	Elizabeth Pena Jorge	718-779-2090
5989dda2d317056a6f438b1f	01M015		P. S. 15 M	P.S. 015 Roberto Clemente	School	NYC Public		333 EAST  4 STREET	Lower East Side	MANHATTAN	NY	10009	103	2	IRENE SANCHEZ	212-228-8730
5a3138aa8330855d15a505e7	31R030		PS 30 SI The Westerleigh School	P.S. 030 Westerleigh	School	NYC Public		200 WARDWELL AVENUE	Westerleigh	STATEN ISLAND	NY	10314	501	50	Alan Ihne	718-442-0462
5a3139f2c6e9f20f9162d099	31R030	5a3138aa8330855d15a505e7	PS 30 Westerleigh School	P.S. 030 Westerleigh	School	NYC Public		200 WARDWELL AVENUE	Westerleigh	STATEN ISLAND	NY	10314	501	50	Alan Ihne	718-442-0462
588fdd8758dc86ad76329e16	26Q031		P.S.31Q The Bayside School	P.S. 031 Bayside	School	NYC Public		211-45 46 ROAD	Bayside-Bayside Hills	QUEENS	NY	11361	411	19	TERRI GRAYBOW	718-423-8289
57d613a9617bf9c536f37ec1	15K032		PS 32 The Samuel Mills Sprole School in Carroll Gardens, Brooklyn	P.S. 032 Samuel Mills Sprole	School	NYC Public		317 HOYT STREET	Carroll Gardens-Columbia Street-Red Hook	BROOKLYN	NY	11231	306	39	DENISE WATSON	718-222-6400
57d43034617bf9c536f37d29	02M033		PS 33, Chelsea Prep	P.S. 033 Chelsea Prep	School	NYC Public		281 9 AVENUE	Hudson Yards-Chelsea-Flatiron-Union Square	MANHATTAN	NY	10001	104	3	Chingchien Wang	212-244-6426
5a0f4f02fba5fb2ea0754567	31R045		P.S.45R John Tyler School	P.S. 045 John Tyler	School	NYC Public		58 LAWRENCE AVENUE	New Brighton-Silver Lake	STATEN ISLAND	NY	10310	501	49	Christine Chavez	718-442-6123
5a15a45e443e2a444d5d931e	31R046		PS 46	P.S. 046 Albert V. Maniscalco	School	NYC Public		41 REID AVENUE	Grasmere-Arrochar-Ft. Wadsworth	STATEN ISLAND	NY	10305	502	50	ANDREA MAFFEO	718-987-5155
58bd89159e4a962862ed1e32	24Q049		P.S./I.S. 49 DOROTHY BONAWIT KOLE	P.S. 049 Dorothy Bonawit Kole	School	NYC Public		63-60 80th Street	Middle Village	QUEENS	NY	11379	405	30	Thomas Carty	718-326-2111
57ebd0a7ab5be4f36908eccb	31R052		P.S. 52	P.S. 052 John C. Thompson	School	NYC Public		450 BUEL AVENUE	Old Town-Dongan Hills-South Beach	STATEN ISLAND	NY	10305	502	50	Jane Mccord	718-351-5454
5a3138e78330855d15a505ee	09X063		PS 63 Author's Academy	P.S. 063 Author's Academy	School	NYC Public		1260 FRANKLIN AVENUE	Morrisania-Melrose	BRONX	NY	10456	203	16	REINALDO DIAZ LENS	718-589-3058
5737437f117a5467af67975c	08X071		Rose E. Scala P.S.071	P.S. 071 Rose E. Scala	School	NYC Public		3040 ROBERTS AVENUE	Pelham Bay-Country Club-City Island	BRONX	NY	10461	210	13	Margaret Mirando	718-822-5351
5983a59a0ef47e0fda510bcd	03M076		PS/IS 76	P.S. 076 A. Philip Randolph	School	NYC Public		220 WEST 121 STREET	Central Harlem South	MANHATTAN	NY	10027	110	9	CHARLES DEBERRY	212-678-2865
5983d3970ef47e0fda510c9a	03M076	5983a59a0ef47e0fda510bcd	PS/IS 76	P.S. 076 A. Philip Randolph	School	NYC Public		220 WEST 121 STREET	Central Harlem South	MANHATTAN	NY	10027	110	9	CHARLES DEBERRY	212-678-2865
5834aa3ae5b1443821082ae7	24Q102		PS/IS 102	P.S. 102 Bayview	School	NYC Public		55-24 VAN HORN STREET	Elmhurst-Maspeth	QUEENS	NY	11373	404	25	William Ko	718-446-3308
5989dd71d317056a6f438b0c	27Q104		PS 104 Bayswater School	P.S. 104 The Bays Water	School	NYC Public		26-01 MOTT AVENUE	Far Rockaway-Bayswater	QUEENS	NY	11691	414	31	KATHLEEN GRADY	718-327-1910
59417d58b909c30f8011fdc6	04M108		Ps108	P.S. 108 Assemblyman Angelo Del Toro Educational Complex	School	NYC Public		1615 MADISON AVENUE	East Harlem South	MANHATTAN	NY	10029	111	8	William Gladstone	212-860-5803
5737437f117a5467af67973d	02M126		MS 126 Jacob Riis	P.S. 126 Jacob August Riis	School	NYC Public		80 CATHERINE STREET	Chinatown	MANHATTAN	NY	10038	103	1	Carlos Romero	212-962-2188
58bee4b15d59018870f3b063	01M140		P.S./M.S. 140 NATHAN STRAUS	P.S. 140 Nathan Straus	School	NYC Public		123 RIDGE STREET	Lower East Side	MANHATTAN	NY	10002	103	1	MELISSA RODRIGUEZ	212-677-4680
594c4505d1aa050fada88925	14K147		PS147	P.S. 147 Isaac Remsen	School	NYC Public		325 BUSHWICK AVENUE	Bushwick South	BROOKLYN	NY	11206	301	34	Sandra Noyola	718-497-0326
59538e8a5a69e70f93c1c451	14K147	594c4505d1aa050fada88925	PS147	P.S. 147 Isaac Remsen	School	NYC Public		325 BUSHWICK AVENUE	Bushwick South	BROOKLYN	NY	11206	301	34	Sandra Noyola	718-497-0326
5834acc1e5b1443821082aee	24Q153		P.S. 153 MASPETH ELEMENTARY	P.S. 153 Maspeth Elem	School	NYC Public		60-02 60 LANE	Maspeth	QUEENS	NY	11378	405	30	David Berkowitz	718-821-7850
5845d7e5f817d9630eb2eea8	24Q153	5834acc1e5b1443821082aee	PS 153 Maspeth Elementary	P.S. 153 Maspeth Elem	School	NYC Public		60-02 60 LANE	Maspeth	QUEENS	NY	11378	405	30	David Berkowitz	718-821-7850
5a1c882c2cffe6168a41d757	03M166		PS 166	P.S. 166 The Richard Rodgers School of The Arts and Technology	School	NYC Public		132 WEST  89 STREET	Upper West Side	MANHATTAN	NY	10024	107	6	Debra Mastriano	212-678-2829
5834ac79e5b1443821082aed	27Q183		P.S. 183 DR. RICHARD R. GREEN	P.S. 183 Dr. Richard R. Green	School	NYC Public		2-45 BEACH  79 STREET	Hammels-Arverne-Edgemere	QUEENS	NY	11693	414	31	Jessica Romero	718-634-9459
