BOP_ID	ATS_CODE	BOP_NAME	DOE_NAME	NYCOD_NAME	HEATHER_DID_IT_FIRST	TYPE_OF_SCHOOL	ADDRESS_1	NEIGHBORHOOD	CITY	STATE	ZIP	COMMUNITY_BOARD	COUNCIL_DISTRICT	PRINCIPAL	PRINCIPAL_PHONE
5912166991cb1f850e448dbc	28Q440	Forest Hills High School	Forest Hills High School	Forest Hills High School	no	NYC Public	67-01 110 STREET	Forest Hills	QUEENS	NY	11375	406	29	BENJAMIN SHERMAN	718-268-3137
5737437f117a5467af679719	20K490	Fort Hamilton High School	Hamilton Heights School	Hamilton Heights School	no	NYC Public	1750 AMSTERDAM AVENUE	Hamilton Heights	MANHATTAN	NY	10031	109	7	DEIRDRE BUDD	212-862-9940
594fee704b16da37d15a040c	20K505	Franklin Delano Roosevelt High School	Eleanor Roosevelt High School	Eleanor Roosevelt High School	no	NYC Public	411 EAST 76 STREET	Lenox Hill-Roosevelt Island	MANHATTAN	NY	10021	108	5	DIMITRI SALIANI	212-772-1220
57f7be9f7a699f1e0a48aec3		Friends Academy			unsure										
57f7bea07a699f1e0a48aec5		Friends Academy			unsure										
587821c0cc0ff6e83807f88a		Friends of Bushwick Park			unsure										
58e5152eec3f74820e7376b2		Gaylen Moore Program Evaluation Services			unsure										
5a31ef35c6e9f20f9162e2c1	13K605	George Westinghouse High School			unsure										
5903948cb1542b585aa6c071		Girl Scouts NY			unsure										
586bb6c1195c49c15ebeeca9	27Q333	Goldie Maple Academy	Goldie Maple Academy	Goldie Maple Academy	no	NYC Public	3-65 BEACH 56 STREET	Hammels-Arverne-Edgemere	QUEENS	NY	11692	414	31	ANGELA LOGAN-SMITH	718-945-3300
5737437f117a5467af67971b		Good Shepherd Services			unsure										
59b884ff2a8c047c0dd018bf		Grace Church School			unsure										
57d426de617bf9c536f37ca7		Greene Hill School			unsure										
58bd96529e4a962862ed1e69	24Q485	Grover Cleveland High School	Grover Cleveland High School	Grover Cleveland High School	no	NYC Public	21-27 HIMROD STREET	Ridgewood	QUEENS	NY	11385	405	30	Denise Vittor	718-381-9600
58bd84329e4a962862ed1e0f		Haitian-Americans United for Progress			unsure										
57640ed88a3ad7c61882da7a		Halawai			unsure										
59775fa4db83c37a9842aae4	06M209	Hamilton Grange Middle School	Hamilton Grange Middle School	Hamilton Grange Middle School	no	NYC Public	500 WEST 138 STREET	Manhattanville	MANHATTAN	NY	10031	109	7	BENJAMIN LEV	212-281-6184
5737437f117a5467af67971c		Harbor Estuary Program			unsure										
57f7c4f08fc301470d444080		HarborLAB			unsure										
5737437f117a5467af679724	02M534	Harvest Collegiate High School	Harvest Collegiate High School	Harvest Collegiate High School	no	NYC Public	34 WEST 14 STREET	West Village	MANHATTAN	NY	10011	102	3	Catherine Burch	212-242-3384
5737437f117a5467af679728		Hastings High School			unsure										
5737437f117a5467af67971e		Home Schoolers of Staten Island			unsure										
5911d9c891cb1f850e448da8		Hudson Montessori			unsure										
59ea2b1597c577235a4959c9		Hudson River Community Sailing			unsure										
5737437f117a5467af67971f		Hudson River Park			unsure										
5737437f117a5467af679720		Human Impacts Institute			unsure										
5737437f117a5467af679721	30Q291	Hunters Point Community Middle School	Hunters Point Community Middle School	Hunters Point Community Middle School	no	NYC Public	1-50 51ST AVENUE	Hunters Point-Sunnyside-West Maspeth	QUEENS	NY	11101	402	26	SARAH GOODMAN	718-609-3300
5834ac30e5b1443821082aec	30Q230	I.S. 230	I.S. 230	I.S. 230	no	NYC Public	73-10 34 AVENUE	Jackson Heights	JACKSON HEIGHTS	NY	11372	403	25	Ronald Zirin	718-335-7648
590203452272257a0e858bfd	25Q025	I.S. 25 ADRIEN BLOCK	I.S. 025 Adrien Block	I.S. 025 Adrien Block	no	NYC Public	34-65 192 STREET	Auburndale	QUEENS	NY	11358	411	19	MARY ELLEN BEIRNE	718-961-3480
590203e22272257a0e858c01	25Q025	I.S. 25 ADRIEN BLOCK	I.S. 025 Adrien Block	I.S. 025 Adrien Block	no	NYC Public	34-65 192 STREET	Auburndale	QUEENS	NY	11358	411	19	MARY ELLEN BEIRNE	718-961-3480
5878f1fbcc0ff6e83807f897	14K318	I.S. 318 Eugenio Maria de Hostos	I.S. 318 Eugenio Maria De Hostos	I.S. 318 Eugenio Maria De Hostos	no	NYC Public	101 WALTON STREET	Williamsburg	BROOKLYN	NY	11206	301	33	Leander Windley	718-782-0589
5901fb722272257a0e858bf7	31R049	I.S. 49 BERTA A. DREYFUS	I.S. 49 Berta A. Dreyfus	I.S. 49 Berta A. Dreyfus	no	NYC Public	101 WARREN STREET	Stapleton-Rosebank	STATEN ISLAND	NY	10304	501	49	James De Francesco	718-727-6040
5834abcce5b1443821082aeb	24Q005	I.S. 5 THE WALTER CROWLEY SCHOOL	I.S. 5 - The Walter Crowley Intermediate School	I.S. 5 - The Walter Crowley Intermediate School	no	NYC Public	50-40 JACOBUS STREET	Elmhurst-Maspeth	QUEENS	NY	11373	404	25	Kelly Nepogoda	718-205-6788
5737437f117a5467af679722		IGY Marinas			unsure										
5737437f117a5467af679723		IKEA Brooklyn			unsure										
5834ab46e5b1443821082aea	30Q126	IS 126 ALBERT SHANKER SCHOOL FOR VISUAL AND PERFORMING ARTS	Albert Shanker School for Visual and Performing Arts	Albert Shanker School for Visual and Performing Ar	no	NYC Public	31-51 21 STREET	Astoria	QUEENS	NY	11106	401	22	ALEXANDER ANGUEIRA	718-274-8316
582f866a47f5770b28c9c6b6	30Q126	IS 126Q			unsure										
582f867047f5770b28c9c6b8	30Q126	IS 126Q			unsure										
5737437f117a5467af679726	30Q141	IS 141 The Steinway School	I.S. 141 The Steinway	I.S. 141 The Steinway	no	NYC Public	37-11 21 AVENUE	Steinway	QUEENS	NY	11105	401	22	MIRANDA PAVLOU	718-278-6403
5737437f117a5467af679727	30Q145	IS 145 Joseph Pulitzer	I.S. 145 Joseph Pulitzer	I.S. 145 Joseph Pulitzer	no	NYC Public	33-34 80 STREET	Jackson Heights	QUEENS	NY	11372	403	25	IVAN RODRIGUEZ	718-457-1242
58786e8ecc0ff6e83807f890	19K007	IS 171 Abraham Lincoln	P.S. 007 Abraham Lincoln	P.S. 007 Abraham Lincoln	no	NYC Public	858 JAMAICA AVENUE	Cypress Hills-City Line	BROOKLYN	NY	11208	305	37	Carolyn Noel	718-647-3600
5737437f117a5467af679729	31R024	IS 24 Myra Barnes	I.S. 024 Myra S. Barnes	I.S. 024 Myra S. Barnes	no	NYC Public	225 CLEVELAND AVENUE	Great Kills	STATEN ISLAND	NY	10308	503	51	LENNY SANTAMARIA	718-982-4700
5737437f117a5467af67972a	21K281	IS 281 Joseph Cavallaro	I.S. 281 Joseph B Cavallaro	I.S. 281 Joseph B Cavallaro	yes	NYC Public	8787 24 AVENUE	Bensonhurst East	BROOKLYN	NY	11214	311	47	Maria Bender	718-996-6706
5876643bd1b4f2e2389723cc	31R051	IS 51 Edwin Markham	I.S. 051 Edwin Markham	I.S. 051 Edwin Markham	no	NYC Public	20 HOUSTON STREET	Port Richmond	STATEN ISLAND	NY	10302	501	50	Nicholas Mele	718-981-0502
5737437f117a5467af67972e	18K068	IS 68 Isaac Bildersee	I.S. 068 Isaac Bildersee	I.S. 068 Isaac Bildersee	no	NYC Public	956 EAST 82 STREET	Canarsie	BROOKLYN	NY	11236	318	46	Merve Williams	718-241-4800
5893e1db58dc86ad76329f7e	02M407	Institute for Collaborative Education	Institute for Collaborative Education	Institute for Collaborative Education	no	NYC Public	345 EAST 15TH STREET	Gramercy	MANHATTAN	NY	10003	106	2	Peter Karp	212-475-7972
589a05abe417aa3a7b906923	24Q530	International High School at LaGuardia C.C.	International High School at LaGuardia Community College	International High School at LaGuardia Community C	no	NYC Public	45-35 VAN DAM STREET	Hunters Point-Sunnyside-West Maspeth	QUEENS	NY	11101	402	26	Jaclyn Valane	718-392-3433
5737437f117a5467af679725	10X342	International School for Liberal Art	International School for Liberal Arts	International School for Liberal Arts	yes	NYC Public	2780 RESERVOIR AVENUE	Van Cortlandt Village	BRONX	NY	10468	207	11	Francine Cruz	718-329-8570
59c9072ae3e6892d8be65d54	84M478	Inwood Academy for Leadership Charter School	Inwood Academy for Leadership Charter School	Inwood Academy for Leadership Charter School	no	Charter	108 COOPER STREET	Marble Hill-Inwood	MANHATTAN	NY	10034	112	10	Christina Reyes	646-665-5570
59c92001e3e6892d8be65d61	84M478	Inwood Academy for Leadership Charter School High School	Inwood Academy for Leadership Charter School	Inwood Academy for Leadership Charter School	no	Charter	108 COOPER STREET	Marble Hill-Inwood	MANHATTAN	NY	10034	112	10	Christina Reyes	646-665-5570
5834ad34e5b1443821082af1	25Q185	J.H.S. 185 EDWARD BLEEKER	J.H.S. 185 Edward Bleeker	J.H.S. 185 Edward Bleeker	no	NYC Public	147-26 25 DRIVE	Murray Hill	QUEENS	NY	11354	407	19	Theresa Mshar	718-445-3232
5834aab2e5b1443821082ae8	20K220	J.H.S. 220 JOHN J. PERSHING	J.H.S. 220 John J. Pershing	J.H.S. 220 John J. Pershing	yes	NYC Public	4812 9TH AVENUE	Sunset Park East	BROOKLYN	NY	11220	312	38	SHELDON DEMPSTER	718-633-8200
5834aafbe5b1443821082ae9	22K234	J.H.S. 234 ARTHUR W. CUNNINGHAM	J.H.S. 234 Arthur W. Cunningham	J.H.S. 234 Arthur W. Cunningham	yes	NYC Public	1875 EAST 17 STREET	Madison	BROOKLYN	NY	11229	315	48	SUSAN SCHAEFFER	718-645-1334
58f1715be23a596b0e4e5735	75X754	JM Rapport School for Career Development 754x	J. M. Rapport School Career Development	J. M. Rapport School Career Development	yes	NYC Public	470 JACKSON AVENUE	Mott Haven-Port Morris	BRONX	NY	10455	201	8	DANIEL HOEHN	718-993-5581
59f0996e6cbbb80f9b05ed48	19K218	James P Sinnott, jhs 218			unsure										
5989df41d317056a6f438bb0	13K270	Johann Dekalb School/PS270			unsure										
5737437f117a5467af67972b	21K540	John Dewey High School	John Dewey High School	John Dewey High School	no	NYC Public	50 AVENUE X	Gravesend	BROOKLYN	NY	11223	313	47	CONNIE HAMILTON	718-373-6400
5737437f117a5467af67972c	14K126	John Ericsson Middle School 126, Magnet School of environmental engineering			unsure										
5737437f117a5467af67972d	12X316	KAPPA III (12x316)			unsure										
5737437f117a5467af67972f		Kings Plaza Marina			unsure										
5737437f117a5467af679731		LIC Community Boathouse			unsure										
5737437f117a5467af679730		La Marina Restaurant			unsure										
5737437f117a5467af679732		Little Red School House & Elisabeth Irwin High School			unsure										
5737437f117a5467af679733		Locust Point Yacht Club			unsure										
5737437f117a5467af679734		Lower East Side Ecology Center			unsure										
5834ae96e5b1443821082af7	02M131	M.S. 131	M.S. 131	M.S. 131	no	NYC Public	100 HESTER STREET	Chinatown	MANHATTAN	NY	10002	103	1	PHYLLIS TAM	212-219-1204
5834ae5ae5b1443821082af6	06M328	M.S. 328 MANHATTAN MIDDLE SCHOOL FOR SCIENTIFIC INQUIRY			unsure										
5924d6a6561569c017258cab	17K340	M.S. 340-North Star Academy			unsure										
5877e666d1b4f2e23897246f	02M104	MS 104 Simon Baruch	J.H.S. 104 Simon Baruch	J.H.S. 104 Simon Baruch	no	NYC Public	330 EAST 21 STREET	Gramercy	MANHATTAN	NY	10010	106	2	Rocco Macri	212-674-4545
5737437f117a5467af67973d	02M126	MS 126 Jacob Riis			unsure										
5737437f117a5467af67973c	01M188	MS 188 The Island School	P.S. 188 The Island School	P.S. 188 The Island School	no	NYC Public	442 EAST HOUSTON STREET	Lower East Side	NEW YORK	NY	10002	103	2	Suany Ramos	212-677-5710
5737437f117a5467af67973e	10X244	MS 244 New School for Leadership and Journalism	The New School for Leadership and Journalism	The New School for Leadership and Journalism	no	NYC Public	120 WEST 231 STREET	Van Cortlandt Village	BRONX	NY	10463	208	14	Eduardo Mora	718-601-2869
59e131ce7ab0680f7bf8db52	03M245	MS 245 The Computer School	M.S. M245 The Computer School	M.S. M245 The Computer School	no	NYC Public	100 WEST 77 STREET	Upper West Side	MANHATTAN	NY	10024	107	6	HENRY ZYMECK	917-441-0873
5737437f117a5467af67973f	13K266	MS 266 Park Place Community School	M.S. K266 - Park Place Community Middle School	M.S. K266 - Park Place Community Middle School	no	NYC Public	62 PARK PLACE	Park Slope-Gowanus	BROOKLYN	NY	11217	306	39	Glenda Esperance	718-245-8766
5737437f117a5467af679740	06M324	MS 324 Patria Mirabal	M.S. 324 - Patria Mirabal	M.S. 324 - Patria Mirabal	no	NYC Public	21 JUMEL PLACE	Washington Heights South	MANHATTAN	NY	10032	112	10	CARLOS GUZMAN	212-923-4057
5737437f117a5467af679741	10X390	MS 390	M.S. 390	M.S. 390	yes	NYC Public	1930 ANDREWS AVENUE	University Heights-Morris Heights	BRONX	NY	10453	205	14	ROBERT MERCEDES	718-583-5501
5834ae19e5b1443821082af5	10X045	MS 45 THOMAS C. GIORDANO			unsure										
5737437f117a5467af679742	15K051	MS 51			unsure										
57f7b4b119cc1edc3249efbb	15K839	MS 839	M.S. 839	M.S. 839	yes	NYC Public	713 CATON AVENUE	Windsor Terrace	BROOKLYN	NY	11218	307	39	MICHAEL PERLBERG	718-686-2730
57f7b4b319cc1edc3249efbd	15K839	MS 839	M.S. 839	M.S. 839	yes	NYC Public	713 CATON AVENUE	Windsor Terrace	BROOKLYN	NY	11218	307	39	MICHAEL PERLBERG	718-686-2730
5737437f117a5467af679743	15K088	MS 88 The Peter Rouget School			unsure										
5737437f117a5467af679746	06M319	MS319/FRIENDS OF SHERMAN CREEK/CHILDRENS AID SOCIETY			unsure										
5737437f117a5467af679744	13K008	MS8 The Robert Fulton School			unsure										
57f7b4e519cc1edc3249efc1	15K839	MS839	M.S. 839	M.S. 839	yes	NYC Public	713 CATON AVENUE	Windsor Terrace	BROOKLYN	NY	11218	307	39	MICHAEL PERLBERG	718-686-2730
595e6b99037942769ecd2875	04M435	Manhattan Center for Science and Mathematics	Manhattan Center for Science and Mathematics	Manhattan Center for Science and Mathematics	no	NYC Public	260 PLEASANT AVENUE	East Harlem North	MANHATTAN	NY	10029	111	8	JOSE JIMENEZ	212-876-4639
5737437f117a5467af679735		Manhattan Kayak Company			unsure										
5737437f117a5467af679736		Marina 59			unsure										
59df9ae77ab0680f7bf8ba17		Marine Education Center			unsure										
5737437f117a5467af679737	31R063	Marsh Avenue Expeditionary Learning School	Kurt Hahn Expeditionary Learning School	Kurt Hahn Expeditionary Learning School	no	NYC Public	5800 TILDEN AVENUE	Rugby-Remsen Village	BROOKLYN	NY	11203	317	45	Veronica Coleman Xavier	718-629-1204
5737437f117a5467af67973a	13K265	McKinney Secondary School of the Arts	Dr. Susan S. McKinney Secondary School of the Arts	Dr. Susan S. McKinney Secondary School of the Arts	yes	NYC Public	101 PARK AVENUE	Fort Greene	BROOKLYN	NY	11205	302	35	Michael Walker	718-834-6760
58dbeca6c6f0027a0e28bc58	28Q167	Metropolitan Expeditionary Learning School (MELS)	Metropolitan Expeditionary Learning School	Metropolitan Expeditionary Learning School	no	NYC Public	91-30 METROPOLITAN AVENUE	Forest Hills	QUEENS	NY	11375	406	29	DAMON MCCORD	718-286-3500
5a3139108330855d15a505f1	12X521	Metropolitan Soundview High School	The Metropolitan Soundview High School	The Metropolitan Soundview High School	no	NYC Public	1300 BOYNTON AVENUE	West Farms-Bronx River	BRONX	NY	10472	209	18	Emarilix Lopez	718-860-8240
5737437f117a5467af679738		Miller's Launch			unsure										
5737437f117a5467af679739		Monsignor McClancy Memorial High School			unsure										
5737437f117a5467af67973b	23K522	Mott Hall IV	Mott Hall V	Mott Hall V	no	NYC Public	1551 EAST 172ND STREET	West Farms-Bronx River	BRONX	NY	10472	209	18	PETER OROSZLANY	718-620-8160
57b722cec6f128700eb3671b		N6 Pier / Williamsburg			unsure										
5737437f117a5467af67974d		NY State Dept. of Environmental Conservation			unsure										
5a0c6f181101f50f69a986ac		NY Sun Works			unsure										
5737437f117a5467af67974e	02M376	NYC I School	NYC iSchool	NYC iSchool	no	NYC Public	131 AVENUE OF THE AMERICAS	SoHo-TriBeCa-Civic Center-Little Italy	MANHATTAN	NY	10013	102	3	Isora Bailey	917-237-7300
5737437f117a5467af67974f	02M312	NYC Lab School for Collaborative Studies	New York City Lab Middle School for Collaborative Studies	N.Y.C. Lab School for Collaborative Studies	no	NYC Public	333 WEST 17 STREET	Hudson Yards-Chelsea-Flatiron-Union Square	MANHATTAN	NY	10011	104	3	MEGAN ADAMS	212-691-6119
5737437f117a5467af679750		NYC Parks Department			unsure										
57e94214d80e42d064376e14		National Science Foundation			unsure										
5737437f117a5467af679745	31R440	New Dorp High School	New World High School	New World High School	no	NYC Public	921 EAST 228TH STREET	Williamsbridge-Olinville	BRONX	NY	10466	212	12	MITHAT GASHI	718-696-3800
5737437f117a5467af679747	84X202	New Visions Charter High School For Advanced Math & Science II	New Visions Charter High School for Advanced Math and Science II	New Visions Charter High School for Advanced Math	no	Charter	900 TINTON AVENUE	Morrisania-Melrose	BRONX	NY	10456	203	17	SPIRIDOULA MANESSIS	718-665-3671
5737437f117a5467af679748		New York Academy of Sciences			unsure										
5737437f117a5467af679749		New York City Department of Education			unsure										
5737437f117a5467af67974a		New York Harbor Foundation			unsure										
5737437f117a5467af67974b		New York Restoration Project			unsure										
5a299bf91b84717c22f93fe7		New York State Department of Environmental Conservation			unsure										
589e3331911363392a0a3fa8		New York State Parks			unsure										
58a21ae2911363392a0a3ffb		New York State Parks, Recreation & Historic Preservation			unsure										
5737437f117a5467af67974c		New York University			unsure										
58791789cc0ff6e83807f8c1		Northport High School			unsure										
5989dda2d317056a6f438b1f	01M015	P. S. 15 M			unsure										
5989de51d317056a6f438b40	30Q011	P.S. 11Q	P.S. 11 Thomas Dongan School	P.S. 11 Thomas Dongan School	no	NYC Public	50 JEFFERSON STREET	Old Town-Dongan Hills-South Beach	STATEN ISLAND	NY	10304	502	50	ERICA MATTERA	718-979-1030
5834acc1e5b1443821082aee	24Q153	P.S. 153 MASPETH ELEMENTARY	P.S. 153 Adam Clayton Powell	P.S. 153 Adam Clayton Powell	no	NYC Public	1750 AMSTERDAM AVENUE	Hamilton Heights	MANHATTAN	NY	10031	109	7	KAREN BAILEY	212-927-8611
5834ac79e5b1443821082aed	27Q183	P.S. 183 DR. RICHARD R. GREEN	P.S. 183 Robert L. Stevenson	P.S. 183 Robert L. Stevenson	no	NYC Public	419 EAST 66 STREET	Lenox Hill-Roosevelt Island	MANHATTAN	NY	10065	108	5	Martin Woodard	212-734-7719
59c26d7dc9614c0f833985c0	22K207	P.S. 207 Elizabeth G. Leary	P.S. 207	P.S. 207	no	NYC Public	3030 GODWIN TERRACE	Spuyten Duyvil-Kingsbridge	BRONX	NY	10463	208	11	TARA OBRIEN	718-796-9645
58bd82c49e4a962862ed1e08	24Q229	P.S. 229 Emanual Kaplan	P.S. 229 Dyker	P.S. 229 Dyker	no	NYC Public	1400 BENSON AVENUE	Bath Beach	BROOKLYN	NY	11228	311	43	ROBERT ZAPPULLA	718-236-5447
57ebd0a7ab5be4f36908eccb	31R052	P.S. 52	P.S. 452	P.S. 452	no	NYC Public	210 WEST 61 STREET	Lincoln Square	MANHATTAN	NY	10023	107	6	David Parker	212-259-6222
58a8376c911363392a0a40d6	13K008	P.S. 8	P.S. 89	P.S. 89	no	NYC Public	201 WARREN STREET	Battery Park City-Lower Manhattan	MANHATTAN	NY	10282	101	1	VERONICA NAJJAR	212-571-5659
